id,name,price(₹),Is_discontinued,manufacturer_name,type,pack_size_label,short_composition1,short_composition2
96380,Genericart Febuxostat 40mg Tablet,107.0,False,Swast Aushadhi Seva Generic Medicine Store,allopathy,strip of 10 tablets,Febuxostat (40mg),
97077,G Tuss Syrup,60.3,False,Vrinda Life,allopathy,bottle of 100 ml Syrup,Ambroxol (15mg/5ml) , Guaifenesin (50mg/5ml) 
95700,Golin 0.25mg Tablet,46.74,False,Salud Care India Pvt Ltd,allopathy,strip of 2 tablets,Cabergoline (0.25mg),
100635,Geeslone MP8 Tablet,57.0,False,Grecian Pvt Ltd,allopathy,strip of 10 tablets,Methylprednisolone (8mg),
98245,Gabyne 300mg Tablet,199.0,False,Kuresys Labs,allopathy,strip of 10 tablets,Gabapentin (300mg),
96297,Genfate O Oral Suspension,140.0,False,Nexgen Pharma,allopathy,bottle of 100 ml Oral Suspension,Sucralfate (500mg) , Oxetacaine (10mg)
98499,Glycy gm 2mg/500mg Tablet,50.0,False,Neuron Pharma Pvt Ltd,allopathy,strip of 10 tablets,Glimepiride (2mg) , Metformin (500mg)
97784,Glutamune-IV Injection,1699.0,False,Astaris lifesciences Pvt Ltd,allopathy,bottle of 50 ml Infusion,L-alanyl-L-glutamine (20gm),
101539,Gesto 200mg Capsule,132.0,False,Yester Pharma Pvt Ltd,allopathy,strip of 10 capsules,Progesterone (Natural Micronized) (200mg),
98107,Gemcet 5mg Tablet,29.5,False,Royal Scottish Remedies,allopathy,strip of 10 tablets,Levocetirizine (5mg),
