id,name,price(₹),Is_discontinued,manufacturer_name,type,pack_size_label,short_composition1,short_composition2
216950,T-MINIC COLD SYRUP,90.8,True,Glaxo SmithKline Pharmaceuticals Ltd,allopathy,bottle of 60 ml Syrup,Chlorpheniramine Maleate (2mg/5ml) , Phenylephrine (5mg/5ml)
222828,Texavil MF 500mg/250mg Tablet,220.0,False,Fibovil Pharmaceuticals Pvt Ltd,allopathy,strip of 10 tablets,Tranexamic Acid (500mg) , Mefenamic Acid (250mg)
217383,Tazlive Trio 40mg/5mg/12.5mg Tablet,119.0,False,Allysia Lifesciences Pvt Ltd,allopathy,strip of 10 tablets,Telmisartan (40mg) , Amlodipine (5mg) 
224198,Thyroxium 150mcg Tablet,155.0,False,Elder Projects Ltd,allopathy,bottle of 100 tablets,Thyroxine (150mcg),
222581,Teezol Topical Powder,65.0,False,Nidus Pharma Pvt Ltd,allopathy,box of 100 gm Powder,Clotrimazole (1% w/w),
224054,Tufcid O Oral Gel Saunf Sugar Free,85.0,False,Medishri Healthcare,allopathy,bottle of 170 ml Oral Gel,Magaldrate (540mg) , Simethicone (50mg) 
227745,Texclav CV LB 500mg/125mg Tablet,155.0,False,SBP Biotech,allopathy,strip of 6 tablets,Amoxycillin (500mg) , Clavulanic Acid (125mg) 
220871,Torlis 100mg Tablet,340.0,False,Semper Fidelis Healthcare Pvt. Ltd.,allopathy,strip of 10 tablets,Torasemide (100mg),
229312,Tramanec 50mg Injection,20.31,False,Nectar Remedies Ltd,allopathy,vial of 2 ml Injection,Tramadol (50mg),
218461,Tacoba Forte 0.1% Ointment,950.0,False,Obat Medicare Pvt Ltd,allopathy,tube of 30 gm Ointment,Tacrolimus (0.1% w/w),
