id,name,price(₹),Is_discontinued,manufacturer_name,type,pack_size_label,short_composition1,short_composition2
245811,Yama Safe D Tablet,180.0,False,Medok Life Sciences Pvt Ltd,allopathy,strip of 10 tablets,Trypsin (48mg) , Bromelain (90mg) 
246343,Yorirab D 10mg/20mg Tablet,75.0,False,Roseate Medicare,allopathy,strip of 10 tablets,Domperidone (10mg) , Rabeprazole (20mg)
245844,Yogaros 5 Tablet,93.0,False,HiGlance Laboratories,allopathy,strip of 15 tablets,Rosuvastatin (5mg),
246066,Ytral 100mg Capsule,89.0,False,Blismed Pharmaceuticals Pvt. Ltd,allopathy,strip of 4 capsules,Itraconazole (100mg),
245871,Yash ZI 250mg Tablet,64.64,False,Yash Pharma Laboratories Pvt Ltd,allopathy,strip of 6 tablets,Azithromycin (250mg),
246367,Yamnac-P Oral Suspension,46.0,False,Reqwell Pharma,allopathy,bottle of 60 ml Oral Suspension,Aceclofenac (50mg) , Paracetamol (125mg)
246030,Yoromol 250mg Oral Suspension,38.0,False,Mediyork Pharma Pvt Ltd,allopathy,bottle of 60 ml Oral Suspension,Paracetamol (250mg),
246114,Yevomin 750mcg/75mg Capsule,125.0,False,Glacia Life Care,allopathy,strip of 10 capsules,Methylcobalamin (750mcg) , Pregabalin (75mg)
246089,Yocoset 4mg Tablet,42.0,False,Smayan Healthcare Pvt Ltd,allopathy,strip of 10 tablets,Ondansetron (4mg),
246201,Yojus CV 500mg/125mg Tablet,280.0,False,Toubib Pharma Private Limited,allopathy,strip of 10 tablets,Amoxycillin  (500mg) ,  Clavulanic Acid (125mg)
